product_id,product_name,category,discounted_price,actual_price,discount_percentage,rating,rating_count,savings,processed_at,brand,product_type,length,color,features,category_L1,category_L2,category_L3,category_L4,category_L5,product_name_clean
B08YXJJW8H,"LUNAGARIYA®, Protective Case Compatible with JIO Settop Box Remote Control,PU Leather Cover Holder (Before Placing Order,Please Compare The Dimensions of The Product with Your Remote)","Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",247,399,38,3.9,200,152,13-04-2026 18:32,"LUNAGARIYA®,",Remote,Not Available,Not Specified,None,Electronics,"HomeTheater,TV&Video",Accessories,RemoteControls,Unknown,LUNAGARIYA Protective Case Compatible with JIO Settop Box Remote ControlPU Leather Cover Holder Before Placing OrderPlease Compare The Dimensions of The Product with Your Remote
B09P8M18QM,7SEVEN® Compatible with Fire Tv Stick Remote with Voice Command Feature Suitable for Second Generation Amazon Fire Tv Stick Remote Only - Pairing Must,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",1369,2999,54,3.3,227,1630,13-04-2026 18:32,7SEVEN®,TV,Not Available,Not Specified,None,Electronics,"HomeTheater,TV&Video",Accessories,RemoteControls,Unknown,7SEVEN Compatible with Fire Tv Stick Remote with Voice Command Feature Suitable for Second Generation Amazon Fire Tv Stick Remote Only  Pairing Must
B08BG4M4N7,"PRUSHTI COVER AND BAGS, Protective Case for Airtel Xstream settop Box Remote Remote Control Pouch Cover Holder PU Leather Cover Holder(only Cover for Selling Purpose)","Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",199,499,60,3.8,538,300,13-04-2026 18:32,PRUSHTI,Remote,Not Available,Not Specified,None,Electronics,"HomeTheater,TV&Video",Accessories,RemoteControls,Unknown,PRUSHTI COVER AND BAGS Protective Case for Airtel Xstream settop Box Remote Remote Control Pouch Cover Holder PU Leather Cover Holderonly Cover for Selling Purpose
B01DEWVZ2C,"JBL C100SI Wired In Ear Headphones with Mic, JBL Pure Bass Sound, One Button Multi-function Remote, Angled Buds for Comfort fit (Black)","Electronics|Headphones,Earbuds&Accessories|Headphones|In-Ear",599,999,40,4.1,192590,400,13-04-2026 18:32,JBL,Remote,Not Available,Black,None,Electronics,"Headphones,Earbuds&Accessories",Headphones,In-Ear,Unknown,JBL C100SI Wired In Ear Headphones with Mic JBL Pure Bass Sound One Button Multifunction Remote Angled Buds for Comfort fit Black
B07GPXXNNG,boAt Bassheads 100 in Ear Wired Earphones with Mic(Taffy Pink),"Electronics|Headphones,Earbuds&Accessories|Headphones|In-Ear",349,999,65,4.1,363713,650,13-04-2026 18:32,boAt,Audio,Not Available,Red,None,Electronics,"Headphones,Earbuds&Accessories",Headphones,In-Ear,Unknown,boAt Bassheads 100 in Ear Wired Earphones with MicTaffy Pink
B08G28Z33M,realme Buds Classic Wired in Ear Earphones with Mic (Black),"Electronics|Headphones,Earbuds&Accessories|Headphones|In-Ear",399,699,43,4,37817,300,13-04-2026 18:32,realme,Audio,Not Available,Black,None,Electronics,"Headphones,Earbuds&Accessories",Headphones,In-Ear,Unknown,realme Buds Classic Wired in Ear Earphones with Mic Black
B07GQD4K6L,boAt Bassheads 100 in Ear Wired Earphones with Mic(Furious Red),"Electronics|Headphones,Earbuds&Accessories|Headphones|In-Ear",379,999,62,4.1,363713,620,13-04-2026 18:32,boAt,Audio,Not Available,Red,None,Electronics,"Headphones,Earbuds&Accessories",Headphones,In-Ear,Unknown,boAt Bassheads 100 in Ear Wired Earphones with MicFurious Red
B085HY1DGR,Sounce Spiral Charger Cable Protector Data Cable Saver Charging Cord Protective Cable Cover Headphone MacBook Laptop Earphone Cell Phone Set of 3 (Cable Protector (12 Units)),Computers&Accessories|Accessories&Peripherals|Cables&Accessories|CableConnectionProtectors,99,999,90,4,1396,900,13-04-2026 18:32,Sounce,Cable,Not Available,Not Specified,None,Computers&Accessories,Accessories&Peripherals,Cables&Accessories,CableConnectionProtectors,Unknown,Sounce Spiral Charger Cable Protector Data Cable Saver Charging Cord Protective Cable Cover Headphone MacBook Laptop Earphone Cell Phone Set of 3 Cable Protector 12 Units
B08D75R3Z1,"PTron Boom Ultima 4D Dual Driver, in-Ear Gaming Wired Headphones with in-line Mic, Volume Control & Passive Noise Cancelling Boom 3 Earphones - (Dark Blue)","Electronics|Headphones,Earbuds&Accessories|Headphones|In-Ear",299,1900,84,3.6,18202,1601,13-04-2026 18:32,pTron,Audio,Not Available,Red,None,Electronics,"Headphones,Earbuds&Accessories",Headphones,In-Ear,Unknown,PTron Boom Ultima 4D Dual Driver inEar Gaming Wired Headphones with inline Mic Volume Control  Passive Noise Cancelling Boom 3 Earphones  Dark Blue
B08MTCKDYN,"Gizga Essentials Spiral Cable Protector Cord Saver for Mac Charger, iPhone Charger, Wire Protector, Lightweight Durable Flexible Wire Winder for Charging Cables, Data Cables, Earphones, Pack of 10",Electronics|Mobiles&Accessories|MobileAccessories|Décor,119,299,60,4.1,5999,180,13-04-2026 18:32,Gizga,Cable,Not Available,Not Specified,None,Electronics,Mobiles&Accessories,MobileAccessories,Décor,Unknown,Gizga Essentials Spiral Cable Protector Cord Saver for Mac Charger iPhone Charger Wire Protector Lightweight Durable Flexible Wire Winder for Charging Cables Data Cables Earphones Pack of 10
